id,user,name,queue,state,finalStatus,progress,trackingUI,trackingUrl,diagnostics,clusterId,applicationType,applicationTags,priority,startedTime,finishedTime,elapsedTime,amContainerLogs,amHostHttpAddress,allocatedMB,allocatedVCores,runningContainers,memorySeconds,vcoreSeconds,queueUsagePercentage,clusterUsagePercentage,preemptedResourceMB,preemptedResourceVCores,numNonAMContainerPreempted,numAMContainerPreempted,logAggregationStatus,unmanagedApplication,amNodeLabelExpression
application_1509436254805_0001,root,SparkPi,spark,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0001/,,1509436254805,SPARK,,0,1509436992103,1509437035821,43718,http://hdp204.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0001_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,321875,75,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0028,root,SparkPi,spark,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0028/,,1509436254805,SPARK,,0,1510022890433,1510022947525,57092,http://hdp204.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0028_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,392731,88,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509341408153_0004,root,org.apache.spark.examples.ml.SimpleTextClassificationPipeline,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509341408153_0004/,null,1509436254805,SPARK,,0,1509342852662,1509342949490,96828,http://hdp203.cancer.com:8042/node/containerlogs/container_e02_1509341408153_0004_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,514239,249,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509341408153_0003,root,org.apache.spark.examples.ml.SimpleTextClassificationPipeline,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509341408153_0003/,null,1509436254805,SPARK,,0,1509342430343,1509342537446,107103,http://hdp203.cancer.com:8042/node/containerlogs/container_e02_1509341408153_0003_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,560371,272,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509436254805_0025,root,SparkPi,spark,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0025/,,1509436254805,SPARK,,0,1509693431707,1509693475547,43840,http://hdp203.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0025_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,329419,77,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0024,root,QuasiMonteCarlo,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0024/,,1509436254805,MAPREDUCE,,0,1509692797352,1509693218373,421021,http://hdp203.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0024_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,3409566,1839,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509341408153_0005,root,org.apache.spark.examples.streaming.QueueStream,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509341408153_0005/,null,1509436254805,SPARK,,0,1509342868427,1509343009717,141290,http://hdp204.cancer.com:8042/node/containerlogs/container_e02_1509341408153_0005_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,273536,133,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509436254805_0022,root,QuasiMonteCarlo,hive,FINISHED,KILLED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0022/,"REDUCE capability required is more than the supported max container capability in the cluster. Killing the Job. reduceResourceRequest: <memory:6000, vCores:1> maxContainerCapability:<memory:5888, vCores:6>
Job received Kill while in RUNNING state.
",1509436254805,MAPREDUCE,,0,1509691815419,1509691821907,6488,http://hdp204.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0022_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,38378,12,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0021,root,QuasiMonteCarlo,hive,FINISHED,KILLED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0021/,"REDUCE capability required is more than the supported max container capability in the cluster. Killing the Job. reduceResourceRequest: <memory:6000, vCores:1> maxContainerCapability:<memory:5888, vCores:6>
Job received Kill while in RUNNING state.
",1509436254805,MAPREDUCE,,0,1509691761373,1509691768153,6780,http://hdp204.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0021_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,38461,12,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0020,root,SparkPi,spark,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0020/,,1509436254805,SPARK,,0,1509691691325,1509691729405,38080,http://hdp203.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0020_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,289464,68,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0019,root,QuasiMonteCarlo,hive,FINISHED,KILLED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0019/,"REDUCE capability required is more than the supported max container capability in the cluster. Killing the Job. reduceResourceRequest: <memory:6000, vCores:1> maxContainerCapability:<memory:5888, vCores:6>
Job received Kill while in RUNNING state.
",1509436254805,MAPREDUCE,,0,1509691441594,1509691448625,7031,http://hdp204.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0019_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,38833,12,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0018,root,QuasiMonteCarlo,hive,FINISHED,KILLED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0018/,"REDUCE capability required is more than the supported max container capability in the cluster. Killing the Job. reduceResourceRequest: <memory:6000, vCores:1> maxContainerCapability:<memory:5888, vCores:6>
Job received Kill while in RUNNING state.
",1509436254805,MAPREDUCE,,0,1509691217017,1509691228720,11703,http://hdp204.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0018_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,54942,17,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0017,root,QuasiMonteCarlo,hive,FINISHED,KILLED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0017/,"REDUCE capability required is more than the supported max container capability in the cluster. Killing the Job. reduceResourceRequest: <memory:6000, vCores:1> maxContainerCapability:<memory:5888, vCores:6>
Job received Kill while in RUNNING state.
",1509436254805,MAPREDUCE,,0,1509691137948,1509691145065,7117,http://hdp203.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0017_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,38406,12,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0016,root,QuasiMonteCarlo,hive,FINISHED,KILLED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0016/,"REDUCE capability required is more than the supported max container capability in the cluster. Killing the Job. reduceResourceRequest: <memory:6000, vCores:1> maxContainerCapability:<memory:5888, vCores:6>
Job received Kill while in RUNNING state.
",1509436254805,MAPREDUCE,,0,1509691077672,1509691085037,7365,http://hdp203.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0016_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,40135,13,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0015,root,SparkPi,spark,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0015/,,1509436254805,SPARK,,0,1509691026204,1509691106301,80097,http://hdp204.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0015_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,460326,95,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0014,root,QuasiMonteCarlo,hive,FINISHED,KILLED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0014/,"REDUCE capability required is more than the supported max container capability in the cluster. Killing the Job. reduceResourceRequest: <memory:6000, vCores:1> maxContainerCapability:<memory:5888, vCores:6>
Job received Kill while in RUNNING state.
",1509436254805,MAPREDUCE,,0,1509691008170,1509691020937,12767,http://hdp203.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0014_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,55842,18,0.0,0.0,0,0,0,0,SUCCEEDED,False,
application_1509436254805_0013,root,SparkPi,spark,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509436254805_0013/,,1509436254805,SPARK,,0,1509531071991,1509531142775,70784,http://hdp203.cancer.com:8042/node/containerlogs/container_e05_1509436254805_0013_01_000002/root,hdp203.cancer.com:8042,-1,-1,-1,334565,78,0.0,0.0,0,0,0,0,SUCCEEDED,False,
